id,word_id,conjugated,sentence
1,1,absolute,This is an [absolute] truth.
2,2,analyze,We must [analyze] the data carefully.
3,3,categorize,Please [categorize] these items.
4,4,condition,The experiment depends on this [condition].
5,5,conscious,He is [conscious] of the problem.
6,6,effective,This method is highly [effective].
7,7,efficient,She is an [efficient] worker.
8,8,innate,Humans have an [innate] ability to learn.
9,9,involve,The job will [involve] teamwork.
10,10,maintain,It is important to [maintain] balance.
11,11,mechanism,The [mechanism] of this machine is complex.
12,12,necessarily,Success does not [necessarily] mean happiness.
13,13,observe,Scientists [observe] natural phenomena.
14,14,phenomenon,This is a strange [phenomenon].
15,15,preference,She has a [preference] for tea.
16,16,significance,The result has great [significance].
17,17,source,This is the main [source] of energy.
18,18,substance,Water is an essential [substance].
19,19,technical,This requires [technical] knowledge.
20,20,ultimate,This is the [ultimate] goal.
